Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
180,0.005,64,"[512, 256, 128]",0.1,15,sgd,0.46516347237880495,0.4871974745703262,0.49359985972295284,15,1554086
181,0.005,64,"[256, 128]",0.1,15,adam,0.44393085306275837,0.48596983514556297,0.4800981939330177,15,730278
182,0.0005,128,"[1024, 512, 256, 128]",0.2,20,adam,0.48417888012025556,0.48509294984216067,0.47957215500613715,20,3463846
183,0.0001,128,"[512, 256, 128]",0.1,20,adam,0.4486283352123262,0.4849175727814802,0.47431176573733125,20,1554086
184,0.005,128,"[512, 256, 128]",0.1,15,adam,0.44381811349116873,0.48456681866011925,0.484832544274943,15,1554086
185,0.0001,128,"[1024, 512, 256, 128]",0.1,20,adam,0.47301766253288235,0.4838653104173974,0.47290899526564967,20,3463846
186,0.005,128,"[256, 128]",0.3,20,sgd,0.42950018789928596,0.483339179235356,0.4706294932491671,20,730278
187,0.005,32,"[512, 256, 128]",0.2,15,sgd,0.43953400977076285,0.48263767099263416,0.4804488865509381,15,1554086
188,0.0005,64,"[1024, 512, 256, 128]",0.2,20,adam,0.45325065764750094,0.4824622939319537,0.48097492547781867,20,3463846
189,0.0001,128,"[1024, 512, 256, 128]",0.3,30,adam,0.4701991732431417,0.48141003156787093,0.4699281080133263,30,3463846
190,0.0001,32,"[1024, 512, 256, 128]",0.3,20,adam,0.4552423900789177,0.4801823921431077,0.46799929861476414,20,3463846
191,0.001,64,"[512, 256, 128]",0.2,15,adam,0.4417888012025554,0.4796562609610663,0.4723829563387691,15,1554086
192,0.0001,64,"[256, 128]",0.2,15,adam,0.4014280345734686,0.47948088390038585,0.4694020690864457,15,730278
193,0.0001,64,"[512, 256, 128]",0.2,20,adam,0.4519729425028185,0.47930550683970535,0.46834999123268456,20,1554086
194,0.0001,128,"[1024, 512, 256, 128]",0.2,30,adam,0.4653513716647877,0.4786039985969835,0.4658951429072418,24,3463846
195,0.0001,64,"[1024, 512, 256, 128]",0.1,20,adam,0.4959413754227734,0.4777271132935812,0.47361038050149046,20,3463846
196,0.005,128,"[1024, 512, 256, 128]",0.2,30,sgd,0.4615558060879369,0.47720098211153983,0.4765912677538138,30,3463846
