Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
172,0.0005,32,5,0,15,sgd,0.9059376174370537,0.9430024552788495,0.9456426442223391,15,1310822
173,0.005,32,3,0,15,adam,0.8435550544907929,0.942827078218169,0.9398562160266526,15,1310822
174,0.0005,128,3,1,30,adam,0.8570086433671552,0.9426517011574886,0.9426617569700158,20,1310822
175,0.001,64,3,1,20,sgd,0.9331454340473506,0.9421255699754472,0.9368753287743293,20,1310822
176,0.001,64,3,1,30,sgd,0.9269447576099211,0.9421255699754472,0.9423110643520954,20,1310822
177,0.001,128,3,1,30,sgd,0.925140924464487,0.9417748158540863,0.9438891811327371,30,1310822
178,0.0005,32,5,0,30,sgd,0.9358136039083051,0.9408979305506839,0.9416096791162546,21,1310822
179,0.001,64,5,0,15,sgd,0.9090943254415633,0.9396702911259207,0.9354725583026477,15,1310822
180,0.0005,32,3,0,15,sgd,0.904434423149192,0.9396702911259207,0.9403822549535332,15,1310822
181,0.001,64,3,1,15,sgd,0.8990229237128899,0.9393195370045598,0.9381027529370507,15,1310822
182,0.0005,128,5,0,20,adam,0.7706501315295002,0.9377411434584356,0.9388041381728914,20,1310822
183,0.005,64,5,0,15,adam,0.818075911311537,0.9344089793055068,0.9324916710503244,15,1310822
184,0.001,128,3,0,30,sgd,0.9216459977452086,0.9344089793055068,0.9337190952130457,30,1310822
185,0.0005,32,3,1,20,adam,0.6961292747087561,0.9342336022448263,0.9345958267578467,20,1310822
186,0.001,128,5,1,20,sgd,0.8712514092446448,0.931076815152578,0.929510783798001,20,1310822
187,0.0005,64,3,0,20,sgd,0.8790680195415257,0.9293230445457734,0.9316149395055234,20,1310822
188,0.005,128,5,1,15,adam,0.840097707628711,0.9279200280603297,0.9261792039277573,15,1310822
189,0.001,128,3,1,20,sgd,0.8703870725291244,0.9279200280603297,0.9261792039277573,20,1310822
190,0.005,128,3,1,20,sgd,0.9325441563322059,0.9272185198176078,0.9317902858144836,13,1310822
191,0.0005,128,5,1,20,adam,0.8609921082299887,0.926867765696247,0.9226722777485534,18,1310822
192,0.0005,64,5,1,15,sgd,0.8296505073280721,0.9261662574535251,0.9288093985621603,15,1310822
193,0.001,128,5,0,20,sgd,0.878391582111988,0.9258155033321641,0.9284587059442398,20,1310822
194,0.0001,128,5,1,15,adam,0.8473130402104472,0.9245878639074009,0.9256531650008767,15,1310822
195,0.005,32,5,1,20,adam,0.7977452085682074,0.9235356015433182,0.923198316675434,15,1310822
196,0.0005,128,5,0,30,sgd,0.8567080045095828,0.9214310768151526,0.9228476240575136,30,1310822
197,0.0005,64,3,1,20,sgd,0.8840285606914694,0.9203788144510698,0.9175872347887077,20,1310822
198,0.0005,128,3,1,30,sgd,0.8472378804960541,0.9198526832690284,0.9275819743994389,30,1310822
199,0.0005,128,5,1,30,sgd,0.8404359263434799,0.919677306208348,0.9216201998947923,30,1310822
200,0.0005,64,5,0,20,sgd,0.8830890642615558,0.9188004209049456,0.9177625810976678,20,1310822
201,0.001,128,3,0,20,sgd,0.8715144682450207,0.9177481585408629,0.9177625810976678,20,1310822
202,0.0005,128,3,0,30,sgd,0.8554678692220969,0.9177481585408629,0.9254778186919166,30,1310822
203,0.0005,64,5,1,20,sgd,0.866140548665915,0.9135391090845317,0.912502191828862,20,1310822
204,0.005,64,3,0,20,adam,0.8787298008267569,0.9131883549631709,0.9139049623005435,20,1310822
205,0.005,128,5,0,30,sgd,0.9556557685080797,0.9128376008418099,0.9118008065930212,19,1310822
206,0.0005,64,3,1,15,sgd,0.8307403231867719,0.9119607155384076,0.9121514992109416,15,1310822
207,0.0001,128,3,0,15,adam,0.8710635099586621,0.9116099614170466,0.9114501139751008,15,1310822
208,0.0001,32,3,0,30,sgd,0.8089440060127772,0.907927043142757,0.9068911099421357,30,1310822
209,0.001,128,5,0,15,sgd,0.8173618940248027,0.9066994037179937,0.9121514992109416,15,1310822
210,0.0001,32,5,0,30,sgd,0.8179631717399474,0.9037179936864258,0.9054883394704542,30,1310822
211,0.005,128,3,1,30,adam,0.8481773769259677,0.9031918625043844,0.9079431877958969,20,1310822
212,0.001,128,3,1,15,sgd,0.8248778654641112,0.9014380918975798,0.9095213045765387,15,1310822
213,0.005,64,3,1,20,adam,0.8442314919203308,0.900736583654858,0.8993512186568473,20,1310822
214,0.0001,32,5,1,30,sgd,0.8111612175873731,0.8968782883198878,0.9039102226898124,30,1310822
215,0.0005,64,3,0,15,sgd,0.8354753851935363,0.8949491406524027,0.8981237944941259,15,1310822
216,0.005,64,5,1,20,adam,0.8149192033070274,0.8928446159242371,0.8872523233385937,20,1310822
217,0.0001,32,3,1,30,sgd,0.7936865839909808,0.8924938618028762,0.8977731018762055,30,1310822
218,0.001,128,5,1,15,sgd,0.8230364524614806,0.8923184847421958,0.895493599859723,15,1310822
219,0.0005,64,5,0,15,sgd,0.8398722284855318,0.8916169764994739,0.8944415220059617,15,1310822
220,0.005,32,5,0,15,adam,0.8292371288989102,0.8870571729217819,0.884797475013151,15,1310822
221,0.0005,128,3,1,20,sgd,0.749379932356257,0.8849526481936163,0.8863755917937928,20,1310822
222,0.0005,128,5,0,20,sgd,0.7557309282224728,0.8816204840406875,0.8800631246712257,20,1310822
223,0.0005,128,5,1,20,sgd,0.7528748590755355,0.8781129428270782,0.8795370857443451,20,1310822
224,0.0005,128,3,0,20,sgd,0.7762871101089815,0.8767099263416345,0.8756794669472208,20,1310822
225,0.005,128,3,0,15,adam,0.7742577978203683,0.8749561557348299,0.8739260038576188,15,1310822
226,0.001,128,3,0,15,sgd,0.8329199549041714,0.8747807786741494,0.8790110468174644,15,1310822
227,0.005,128,3,0,20,adam,0.8019917324314167,0.8695194668537355,0.8672628441171313,20,1310822
